"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","national_winner","votes_national_winner"
"Afghanistan","AFG","Czechia","CZE",2017-10-20,"Legislative",98,93,93,93,NA,NA,NA,25,"ANO 2011",13,"Svob.a pr.dem.-T.Okamura (SPD)",12,"Ceska str.socialne demokrat.",9,"Obcanska demokraticka strana",7,"TOP 09",6,"STAROSTOVE A NEZAVISLI",6,"Strana svobodnych obcanu",6,"Ceska piratska strana",4,"Krest.demokr.unie-Cs.str.lid.",2,"REALISTE",1,"Komunisticka str.Cech a Moravy",1,"Strana zelenych",1,"Strana Prav Obcanu",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",25
"Albania","ALB","Czechia","CZE",2017-10-20,"Legislative",21,15,15,15,NA,NA,NA,3,"Svob.a pr.dem.-T.Okamura (SPD)",2,"Obcanska demokraticka strana",2,"Ceska str.socialne demokrat.",2,"Ceska piratska strana",2,"TOP 09",2,"Krest.demokr.unie-Cs.str.lid.",1,"Strana zelenych",1,"Strana svobodnych obcanu",0,"STAROSTOVE A NEZAVISLI",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"ANO 2011",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",0
"Argentina","ARG","Czechia","CZE",2017-10-20,"Legislative",93,26,26,26,NA,NA,NA,8,"TOP 09",5,"Strana zelenych",4,"ANO 2011",3,"Svob.a pr.dem.-T.Okamura (SPD)",2,"STAROSTOVE A NEZAVISLI",2,"Strana svobodnych obcanu",1,"Ceska piratska strana",1,"Krest.demokr.unie-Cs.str.lid.",0,"Obcanska demokraticka strana",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",4
"Armenia","ARM","Czechia","CZE",2017-10-20,"Legislative",25,21,21,21,NA,NA,NA,4,"Obcanska demokraticka strana",3,"TOP 09",3,"Krest.demokr.unie-Cs.str.lid.",2,"Ceska str.socialne demokrat.",2,"Strana zelenych",2,"Ceska piratska strana",2,"ANO 2011",2,"Svob.a pr.dem.-T.Okamura (SPD)",1,"STAROSTOVE A NEZAVISLI",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",2
"Australia","AUS","Czechia","CZE",2017-10-20,"Legislative",425,181,180,180,NA,NA,NA,39,"Ceska piratska strana",28,"Obcanska demokraticka strana",28,"TOP 09",21,"STAROSTOVE A NEZAVISLI",16,"Svob.a pr.dem.-T.Okamura (SPD)",13,"Strana zelenych",12,"ANO 2011",10,"Krest.demokr.unie-Cs.str.lid.",6,"Strana svobodnych obcanu",5,"Ceska str.socialne demokrat.",1,"REALISTE",1,"SPR-Republ.str.Csl. M.Sladka",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",12
"Austria","AUT","Czechia","CZE",2017-10-20,"Legislative",511,421,417,417,NA,NA,NA,103,"TOP 09",63,"Ceska piratska strana",54,"Obcanska demokraticka strana",52,"Krest.demokr.unie-Cs.str.lid.",35,"STAROSTOVE A NEZAVISLI",35,"ANO 2011",26,"Strana zelenych",19,"Ceska str.socialne demokrat.",13,"Svob.a pr.dem.-T.Okamura (SPD)",7,"Strana svobodnych obcanu",6,"REALISTE",1,"Komunisticka str.Cech a Moravy",1,"Strana Prav Obcanu",1,"Rad naroda - Vlastenecka unie",1,"CESTA ODPOVEDNE SPOLECNOSTI",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",35
"Azerbaijan","AZE","Czechia","CZE",2017-10-20,"Legislative",24,20,20,20,NA,NA,NA,9,"Ceska str.socialne demokrat.",4,"ANO 2011",2,"STAROSTOVE A NEZAVISLI",2,"TOP 09",1,"Obcanska demokraticka strana",1,"Ceska piratska strana",1,"Krest.demokr.unie-Cs.str.lid.",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",4
"Belarus","BLR","Czechia","CZE",2017-10-20,"Legislative",23,20,20,20,NA,NA,NA,7,"ANO 2011",4,"Obcanska demokraticka strana",3,"Ceska str.socialne demokrat.",2,"Ceska piratska strana",2,"TOP 09",1,"Strana zelenych",1,"Krest.demokr.unie-Cs.str.lid.",0,"STAROSTOVE A NEZAVISLI",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",7
"Belgium","BEL","Czechia","CZE",2017-10-20,"Legislative",988,834,830,830,NA,NA,NA,294,"TOP 09",109,"Ceska piratska strana",79,"Krest.demokr.unie-Cs.str.lid.",71,"Obcanska demokraticka strana",71,"STAROSTOVE A NEZAVISLI",67,"Ceska str.socialne demokrat.",60,"Strana zelenych",39,"ANO 2011",18,"Svob.a pr.dem.-T.Okamura (SPD)",8,"Komunisticka str.Cech a Moravy",8,"Strana svobodnych obcanu",3,"REALISTE",1,"ROZUMNI-stop migraci,diktat.EU",1,"Strana Prav Obcanu",1,"Obcanska demokraticka aliance",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Rad naroda - Vlastenecka unie",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",39
"Bosnia","BIH","Czechia","CZE",2017-10-20,"Legislative",25,25,25,25,NA,NA,NA,5,"TOP 09",5,"Krest.demokr.unie-Cs.str.lid.",4,"Obcanska demokraticka strana",4,"Strana zelenych",3,"Ceska piratska strana",2,"Ceska str.socialne demokrat.",1,"STAROSTOVE A NEZAVISLI",1,"Strana svobodnych obcanu",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"ANO 2011",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",0
