"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","null_votes","blanco_votes","total_votes","valid_votes","valid_votes2","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","national_winner","votes_national_winner"
"Argentina","ARG","Paraguay","PRY",2018-04-22,"Legislative",NA,183,330,5148,4635,4635,NA,1999,"PLRA",1459,"ANR",449,"FG",82,"MCC",70,"PRF",56,"UNAMONOS",54,"UNACE",43,"MPIP",43,"CN",41,"PEN",40,"PPQ",34,"PVP",30,"AP",25,"PPH",23,"MRP",23,"MUI",21,"P_MAS",19,"PDC",15,"PMPP",15,"PDP",13,"PFA",13,"MUTPY",12,"SN",11,"MNAP",11,"PJ",10,"MSPY",9,"PSDH",8,"PAS",7,"PDA","ANR",1459
"Brazil","BRA","Paraguay","PRY",2018-04-22,"Legislative",NA,1,5,120,114,114,NA,48,"PLRA",38,"ANR",6,"FG",3,"PPQ",3,"MRP",3,"CN",2,"PRF",2,"UNACE",2,"PVP",1,"PEN",1,"AP",1,"MNAP",1,"MPIP",1,"PPH",1,"PSDH",1,"PAS",0,"PDC",0,"MCC",0,"P_MAS",0,"PFA",0,"PJ",0,"SN",0,"PMPP",0,"UNAMONOS",0,"MUTPY",0,"PDP",0,"MUI",0,"MSPY",0,"PDA","ANR",38
"US","USA","Paraguay","PRY",2018-04-22,"Legislative",NA,13,33,953,907,907,NA,397,"ANR",227,"PLRA",57,"FG",51,"PPQ",22,"MPIP",19,"PEN",16,"PVP",14,"PDP",12,"PRF",12,"PPH",12,"CN",11,"MRP",7,"MUTPY",6,"PDC",6,"UNAMONOS",5,"UNACE",5,"P_MAS",5,"PJ",4,"MUI",3,"MCC",3,"MNAP",3,"MSPY",3,"PDA",2,"AP",2,"SN",1,"PFA",1,"PSDH",1,"PAS",0,"PMPP","ANR",397
"Spain","ESP","Paraguay","PRY",2018-04-22,"Legislative",NA,40,48,2081,1993,1993,NA,667,"PLRA",450,"ANR",122,"FG",105,"MPIP",102,"CN",94,"PVP",64,"PEN",52,"PPQ",46,"UNAMONOS",37,"UNACE",25,"PRF",23,"MUI",21,"MRP",21,"PDP",18,"PPH",16,"PDC",16,"AP",15,"MSPY",14,"MUTPY",13,"MNAP",12,"PJ",12,"SN",11,"PMPP",9,"P_MAS",8,"PAS",7,"PFA",5,"PDA",4,"MCC",4,"PSDH","ANR",450
"Argentina","ARG","Paraguay","PRY",2013-04-21,"Legislative",NA,153,344,6171,5674,5674,NA,2055,"PLRA",1936,"ANR",1005,"FG",172,"AP",112,"UNACE",90,"PPQ",65,"MKP",51,"PL",24,"PEN",24,"PSD",23,"PDP",21,"PEA",20,"UDV",18,"PJ",16,"X30_A",15,"PB",14,"PPL",12,"MICA",1,"MII",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",1936
"US","USA","Paraguay","PRY",2013-04-21,"Legislative",NA,7,28,1187,1152,1152,NA,560,"ANR",352,"PLRA",64,"FG",38,"PPQ",34,"AP",23,"MKP",15,"PEN",15,"PDP",11,"PSD",9,"UNACE",7,"UDV",6,"PJ",4,"MICA",3,"PEA",3,"PL",3,"PPL",2,"PB",2,"X30_A",1,"MII",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",560
"Spain","ESP","Paraguay","PRY",2013-04-21,"Legislative",NA,35,30,1659,1594,1594,NA,601,"PLRA",539,"ANR",90,"UNACE",87,"FG",76,"AP",47,"MKP",45,"PPQ",36,"PDP",23,"PJ",11,"PEN",9,"PEA",8,"PSD",7,"PB",7,"PL",3,"MICA",2,"UDV",2,"PPL",1,"MII",0,"X30_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",539
"Argentina","ARG","Paraguay","PRY",2018-04-22,"Presidential",NA,150,236,5163,4777,4777,NA,2855,"GANAR",1693,"ANR",60,"PVP",33,"SN",30,"PFA",30,"MNAP",26,"UNAMONOS",18,"PMPP",16,"MRP",16,"PSDH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",1693
"Brazil","BRA","Paraguay","PRY",2018-04-22,"Presidential",NA,4,0,120,116,116,NA,66,"GANAR",45,"ANR",3,"PVP",1,"PFA",1,"MNAP",0,"SN",0,"MRP",0,"PSDH",0,"PMPP",0,"UNAMONOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",45
"US","USA","Paraguay","PRY",2018-04-22,"Presidential",NA,16,10,956,930,930,NA,515,"ANR",372,"GANAR",25,"PVP",5,"UNAMONOS",3,"PFA",3,"MNAP",2,"SN",2,"PSDH",2,"PMPP",1,"MRP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",515
