"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","votes_party_46","party_party_46","votes_party_47","party_party_47","votes_party_48","party_party_48","votes_party_49","party_party_49","votes_party_50","party_party_50","votes_party_51","party_party_51","votes_party_52","party_party_52","votes_party_53","party_party_53","votes_party_54","party_party_54","votes_party_55","party_party_55","national_winner","votes_national_winner","unmarked_votes"
"South Africa","ZAF","Romania","ROU",2000-11-26,"Legislative",NA,154,153,153,1,NA,NA,55,"CDR 2000",26,"PDSR-PUR-PSDR",20,"PNL",14,"PRM",8,"PNT",6,"PNL - C",6,"PD",3,"UDMR",2,"PDPRD",2,"F - EVREI",2,"CI",1,"ApR",1,"PLRSD",1,"P ROMII",1,"ECOLOGISTII",1,"PSAP",1,"PNDC",1,"C ITRO - IS2",1,"PUNR - PNR",1,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",26,NA
"Albania","ALB","Romania","ROU",2000-11-26,"Legislative",NA,42,41,41,1,NA,NA,18,"PDSR-PUR-PSDR",11,"PRM",5,"PD",3,"PNL",2,"CDR 2000",1,"C - ROMII",1,"LAR",0,"PNT",0,"PNL - C",0,"ApR",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",18,NA
"Algeria","DZA","Romania","ROU",2000-11-26,"Legislative",NA,32,32,32,0,NA,NA,13,"PDSR-PUR-PSDR",5,"PRM",3,"CDR 2000",3,"PD",2,"PNL - C",2,"ECOLOGISTII",2,"UDMR",1,"PVR",1,"U - TURCA",0,"PNT",0,"PNL",0,"ApR",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"PSAP",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",13,NA
"Angola","AGO","Romania","ROU",2000-11-26,"Legislative",NA,18,18,18,0,NA,NA,5,"PDSR-PUR-PSDR",2,"CDR 2000",2,"ApR",2,"UDMR",1,"PNT",1,"PNL - C",1,"PNL",1,"PLRSD",1,"PD",1,"PSAP",1,"C ITRO - IS2",0,"PRM",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"CI",0,"PNDC",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",5,NA
"Saudi Arabia","SAU","Romania","ROU",2000-11-26,"Legislative",NA,44,43,43,1,NA,NA,23,"PDSR-PUR-PSDR",5,"PNL",3,"CDR 2000",3,"PNL - C",2,"PRM",2,"PD",1,"ECOLOGISTII",1,"PUNR - PNR",1,"U - TURCA",1,"PREV",1,"PLDR",0,"PNT",0,"ApR",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",23,NA
"Argentina","ARG","Romania","ROU",2000-11-26,"Legislative",NA,69,69,69,0,NA,NA,23,"PDSR-PUR-PSDR",11,"PRM",8,"PNL",5,"PRN",4,"PNL - C",3,"PNT",3,"ApR",3,"UDC",2,"U - UCRAINENI",1,"PD",1,"F - EVREI",1,"ECOLOGISTII",1,"PNDC",1,"PUNR - PNR",1,"PVR",1,"PSM",0,"CDR 2000",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"PSAP",0,"UDMR",0,"CI",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",23,NA
"Armenia","ARM","Romania","ROU",2000-11-26,"Legislative",NA,8,8,8,0,NA,NA,5,"PDSR-PUR-PSDR",1,"PD",1,"PUNR - PNR",1,"U - ARMENI",0,"CDR 2000",0,"PRM",0,"PNT",0,"PNL - C",0,"PNL",0,"ApR",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",5,NA
"Australia","AUS","Romania","ROU",2000-11-26,"Legislative",NA,346,341,341,5,NA,NA,148,"CDR 2000",46,"PNL",43,"PDSR-PUR-PSDR",25,"PD",9,"PRM",9,"PNL - C",6,"PNT",6,"UDMR",6,"PUNR - PNR",5,"PSAP",5,"PP",3,"PDPRD",3,"ECOLOGISTII",3,"PLDR",3,"PN",3,"PSDCTP",2,"CI",2,"PNDC",2,"FDGR",1,"ApR",1,"F - EVREI",1,"PLDMRO",1,"PREV",1,"PRN",1,"UDC",1,"UBBR",1,"PSR",1,"C - TURCA",1,"LIR",1,"U D - UCRAINENI",1,"ULB",0,"PLRSD",0,"P ROMII",0,"C ITRO - IS2",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",43,NA
"Austria","AUT","Romania","ROU",2000-11-26,"Legislative",NA,678,651,651,27,NA,NA,134,"CDR 2000",99,"PNL",86,"PDSR-PUR-PSDR",86,"PRM",52,"PD",48,"UDMR",24,"ECOLOGISTII",19,"PNL - C",13,"ApR",9,"PNT",9,"PUNR - PNR",9,"FDGR",7,"UDC",5,"PLDR",4,"PDPRD",4,"F - EVREI",4,"PSAP",4,"PP",3,"PNDC",3,"C ITRO - IS2",3,"PLDMRO",3,"U - CROATI",2,"PLRSD",2,"C - ROMII",2,"LAR",2,"PVR",2,"PRN",2,"PSM",2,"PN",2,"U D - UCRAINENI",1,"CI",1,"PREV",1,"C - TURCA",1,"U - TATARI",1,"L C- ITALIENI",1,"AMSR",1,"U - ELENA",0,"P ROMII",0,"U - TURCA",0,"U - UCRAINENI",0,"U - ARMENI",0,"PSDCTP",0,"UBBR",0,"PSR",0,"LIR",0,"ULB",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",86,NA
"Azerbaijan","AZE","Romania","ROU",2000-11-26,"Legislative",NA,33,33,33,0,NA,NA,14,"PDSR-PUR-PSDR",6,"PNL",3,"CDR 2000",3,"PRM",2,"PNL - C",1,"PNT",1,"PDPRD",1,"PD",1,"PNDC",1,"PLDR",0,"ApR",0,"PLRSD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",14,NA
