"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","national_winner","votes_national_winner"
"Algeria","Ukraine",2006-03-26,"Legislative",168,106,97,9,NA,NA,32,"Party of Regions",27,"Block OUR UKRAINE",16,"Yulia Tymoshenko Bloc",4,"Lytvyn People's Bloc",3,"Communist Party of Ukraine",3,"Socialist Party of Ukraine",3,"Bloc of Natalia Vitrenko People's Opposition",1,"All-Ukrainian Party of People's Trust",1,"All-Ukrainian Party New Power",1,"Renaissance Party",1,"Electoral bloc of political parties FOR THE UNION",1,"Civil bloc PORA-PRP",1,"Party of National and Economic Development of Ukraine",1,"Bloc of Non-Party Sun ",1,"Green Party of Ukraine",1,"Party of Pensioners of Ukraine",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Electoral bloc State - Labor Union ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",32
"Egypt","Ukraine",2006-03-26,"Legislative",597,117,113,4,NA,NA,38,"Party of Regions",28,"Yulia Tymoshenko Bloc",17,"Block OUR UKRAINE",5,"Bloc of Natalia Vitrenko People's Opposition",5,"The opposition bloc is NOT YES!",4,"Lytvyn People's Bloc",3,"Viche Party",2,"Communist Party of Ukraine",2,"People's Movement of Ukraine for Unity",2,"Civil bloc PORA-PRP",1,"Ukrainian People's Bloc of Kostenko and Ivy",1,"Ukrainian Green Planet Party",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"Yuri Karmazin's block",1,"Socialist Party of Ukraine",1,"Social Christian Party",1,"Green Party of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",38
"Argentina","Ukraine",2006-03-26,"Legislative",1082,174,173,1,NA,NA,66,"Block OUR UKRAINE",19,"Yulia Tymoshenko Bloc",14,"Party of Regions",11,"Civil bloc PORA-PRP",10,"Bloc of Natalia Vitrenko People's Opposition",8,"Lytvyn People's Bloc",6,"All-Ukrainian Association Freedom",4,"Ukrainian National Assembly",4,"Ukrainian Green Planet Party",4,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",4,"Socialist Party of Ukraine",4,"The opposition bloc is NOT YES!",3,"Ukrainian People's Bloc of Kostenko and Ivy",3,"Communist Party of Ukraine",3,"People's Movement of Ukraine for Unity",2,"Social Protection Party",1,"Political Party of Ukraine Putin's Politics Party",1,"Electoral bloc of political parties FOR THE UNION",1,"Party of National and Economic Development of Ukraine",1,"Bloc of Non-Party Sun ",1,"Green Party of Ukraine",1,"Electoral bloc People's Power",1,"Bloc of Boris Oliynyk and Mykhailo Syrota",1,"Party of Pensioners of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Political party Party of ecological rescue ECO + 25%",0,"NDP block",0,"Viche Party",0,"Ukrainian Conservative Party",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Electoral bloc State - Labor Union ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Bloc Patriots of Ukraine",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Labor Ukraine Political Party","Party of Regions",14
"Australia","Ukraine",2006-03-26,"Legislative",1094,56,55,0,NA,NA,26,"Block OUR UKRAINE",13,"Yulia Tymoshenko Bloc",4,"Party of Regions",3,"Civil bloc PORA-PRP",3,"Green Party of Ukraine",1,"All-Ukrainian Party of People's Trust",1,"Ukrainian People's Bloc of Kostenko and Ivy",1,"Viche Party",1,"Ukrainian Conservative Party",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"Lytvyn People's Bloc",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"People's Movement of Ukraine for Unity",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Socialist Party of Ukraine",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",4
"Canada","Ukraine",2006-03-26,"Legislative",10421,1359,1343,8,NA,NA,807,"Block OUR UKRAINE",267,"Yulia Tymoshenko Bloc",88,"Civil bloc PORA-PRP",60,"Party of Regions",25,"Ukrainian People's Bloc of Kostenko and Ivy",25,"Socialist Party of Ukraine",21,"All-Ukrainian Association Freedom",12,"Bloc of Natalia Vitrenko People's Opposition",7,"Lytvyn People's Bloc",5,"Ukrainian National Assembly",4,"Ukrainian Green Planet Party",4,"Communist Party of Ukraine",2,"Ukrainian Conservative Party",2,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",2,"Party of Patriotic Forces of Ukraine",2,"Green Party of Ukraine",2,"Electoral bloc People's Power",2,"Bloc of Boris Oliynyk and Mykhailo Syrota",2,"The opposition bloc is NOT YES!",1,"Political party Party of ecological rescue ECO + 25%",1,"People's Movement of Ukraine for Unity",1,"Yuri Karmazin's block",1,"Labor Ukraine Political Party",0,"All-Ukrainian Party of People's Trust",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Viche Party",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Bloc Patriots of Ukraine",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine","Party of Regions",60
"Czechia","Ukraine",2006-03-26,"Legislative",8397,1402,1377,11,NA,NA,708,"Block OUR UKRAINE",324,"Yulia Tymoshenko Bloc",102,"Party of Regions",87,"Civil bloc PORA-PRP",32,"Socialist Party of Ukraine",16,"Ukrainian People's Bloc of Kostenko and Ivy",14,"All-Ukrainian Association Freedom",13,"Lytvyn People's Bloc",8,"Bloc of Natalia Vitrenko People's Opposition",7,"Ukrainian Green Planet Party",7,"Yuri Karmazin's block",6,"Viche Party",5,"Peasant Party of Ukraine",5,"Green Party of Ukraine",5,"The opposition bloc is NOT YES!",4,"Social Christian Party",3,"Communist Party of Ukraine",3,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",3,"Party of Pensioners of Ukraine",2,"Ukrainian National Assembly",2,"Political party Party of ecological rescue ECO + 25%",2,"Political Party of Ukraine Putin's Politics Party",2,"Electoral bloc Yevhen Marchuk - Unity",2,"Party of National and Economic Development of Ukraine",2,"Electoral bloc State - Labor Union ",2,"Electoral bloc People's Power",2,"Bloc Patriots of Ukraine",1,"All-Ukrainian Party of People's Trust",1,"NDP block",1,"People's Movement of Ukraine for Unity",1,"Electoral bloc of political parties FOR THE UNION",1,"European Capital Political Party",1,"Social Protection Party",1,"Third Force Political Party",1,"Lazarenko Bloc",1,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Ukrainian Conservative Party",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Party of Patriotic Forces of Ukraine",0,"Bloc of Non-Party Sun ",0,"Liberal Party of Ukraine",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Labor Ukraine Political Party","Party of Regions",102
"Brazil","Ukraine",2006-03-26,"Legislative",158,54,53,1,NA,NA,25,"Block OUR UKRAINE",13,"Yulia Tymoshenko Bloc",3,"Party of Regions",3,"Lytvyn People's Bloc",2,"Party of Patriotic Forces of Ukraine",2,"Socialist Party of Ukraine",2,"Green Party of Ukraine",1,"Civil bloc PORA-PRP",1,"Bloc of Natalia Vitrenko People's Opposition",1,"The opposition bloc is NOT YES!",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",3
"Germany","Ukraine",2006-03-26,"Legislative",92071,2733,2677,39,NA,NA,922,"Block OUR UKRAINE",606,"Party of Regions",532,"Yulia Tymoshenko Bloc",192,"Civil bloc PORA-PRP",74,"Socialist Party of Ukraine",57,"Bloc of Natalia Vitrenko People's Opposition",44,"The opposition bloc is NOT YES!",43,"Ukrainian People's Bloc of Kostenko and Ivy",38,"Viche Party",35,"Communist Party of Ukraine",33,"Lytvyn People's Bloc",16,"Green Party of Ukraine",11,"All-Ukrainian Association Freedom",7,"Renaissance Party",6,"Political Party of Ukraine Putin's Politics Party",6,"Party of Pensioners of Ukraine",5,"NDP block",5,"Yuri Karmazin's block",4,"Ukrainian Green Planet Party",4,"Electoral bloc Yevhen Marchuk - Unity",3,"Political party Party of ecological rescue ECO + 25%",3,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",3,"Peasant Party of Ukraine",3,"Electoral bloc State - Labor Union ",3,"Social Christian Party",2,"Ukrainian Conservative Party",2,"People's Movement of Ukraine for Unity",2,"All-Ukrainian Party New Power",2,"Electoral bloc of political parties FOR THE UNION",2,"Bloc of Non-Party Sun ",2,"Lazarenko Bloc",2,"Electoral bloc People's Power",2,"Bloc Patriots of Ukraine",1,"All-Ukrainian Party of People's Trust",1,"Party of National and Economic Development of Ukraine",1,"Social Protection Party",1,"Third Force Political Party",1,"Bloc of Boris Oliynyk and Mykhailo Syrota",1,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Ukrainian National Assembly",0,"Party of Patriotic Forces of Ukraine",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Political party Forward, Ukraine!",0,"Labor Ukraine Political Party","Party of Regions",606
"Nigeria","Ukraine",2006-03-26,"Legislative",165,69,67,2,NA,NA,33,"Party of Regions",11,"Block OUR UKRAINE",7,"Yulia Tymoshenko Bloc",3,"Viche Party",3,"Bloc of Natalia Vitrenko People's Opposition",2,"Ukrainian Conservative Party",2,"Civil bloc PORA-PRP",2,"Lazarenko Bloc",2,"Lytvyn People's Bloc",1,"Communist Party of Ukraine",1,"Party of National and Economic Development of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Socialist Party of Ukraine",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",33
"France","Ukraine",2006-03-26,"Legislative",2108,569,546,20,NA,NA,250,"Block OUR UKRAINE",149,"Yulia Tymoshenko Bloc",40,"Party of Regions",29,"Civil bloc PORA-PRP",22,"Socialist Party of Ukraine",12,"Ukrainian People's Bloc of Kostenko and Ivy",8,"Lytvyn People's Bloc",7,"The opposition bloc is NOT YES!",5,"Bloc of Boris Oliynyk and Mykhailo Syrota",2,"Ukrainian National Assembly",2,"NDP block",2,"Viche Party",2,"Ukrainian Conservative Party",2,"Bloc of Natalia Vitrenko People's Opposition",2,"Green Party of Ukraine",1,"All-Ukrainian Party of People's Trust",1,"Political party Party of ecological rescue ECO + 25%",1,"Communist Party of Ukraine",1,"People's Movement of Ukraine for Unity",1,"Renaissance Party",1,"Party of Patriotic Forces of Ukraine",1,"Electoral bloc Yevhen Marchuk - Unity",1,"Electoral bloc State - Labor Union ",1,"All-Ukrainian Association Freedom",1,"Social Christian Party",1,"Political party Forward, Ukraine!",1,"Party of Pensioners of Ukraine",0,"Ukrainian Green Planet Party",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of National and Economic Development of Ukraine",0,"Bloc of Non-Party Sun ",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Labor Ukraine Political Party","Party of Regions",40
"Georgia","Ukraine",2006-03-26,"Legislative",415,146,139,7,NA,NA,46,"Party of Regions",44,"Block OUR UKRAINE",26,"Yulia Tymoshenko Bloc",4,"Lytvyn People's Bloc",3,"European Capital Political Party",2,"NDP block",2,"Socialist Party of Ukraine",2,"The opposition bloc is NOT YES!",1,"All-Ukrainian Party of People's Trust",1,"Ukrainian People's Bloc of Kostenko and Ivy",1,"Ukrainian Green Planet Party",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"Renaissance Party",1,"Electoral bloc of political parties FOR THE UNION",1,"Social Christian Party",1,"Bloc of Natalia Vitrenko People's Opposition",1,"Party of Pensioners of Ukraine",1,"Labor Ukraine Political Party",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Peasant Party of Ukraine",0,"Civil bloc PORA-PRP",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Liberal Party of Ukraine",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.","Party of Regions",46
